"Exp_ID","UniqueStockID","TrtID_Final","RunBy","till","first.year","initial.SOC","location_name","Can_SOC30","initial.SOC.impute","POLYID","init_active_frac","init_slow_frac","init_passive_frac","mean_c_input"
"E62","E62_CT","HARRI_CT_CR38","treatment","FT",1985,NA,"Harrigton, Prince Edward Island",45.8,45.8,536013,11.964327939479,26.3967058741213,7.43896618639971,1.75460595022024
"E62","E62_NT","HARRI_NT_CR38","treatment","NT",1985,NA,"Harrigton, Prince Edward Island",45.8,45.8,536013,23.7120915259272,17.2317553593063,4.85615311476658,1.78080601430857
"E63","E63_CT_CR39","FOR_CT_CR39","treatment","FT",1992,NA,"Fort Vermillion, Alberta",47.7,47.7,598001,15.6287834020246,25.1512409787888,6.91997561918661,2.17114166914925
"E63","E63_CT_CR41","FOR_CT_CR41","treatment","FT",1992,NA,"Fort Vermillion, Alberta",47.7,47.7,598001,16.1453915334068,24.4815473471816,7.07306111941155,1.76917114771417
"E63","E63_CT_CR42","FOR_CT_CR42","treatment","FT",1992,NA,"Fort Vermillion, Alberta",47.7,47.7,598001,16.181545446309,24.434680014367,7.08377453932405,2.07260808917321
"E63","E63_NT_CR39","FOR_NT_CR39","treatment","NT",1992,NA,"Fort Vermillion, Alberta",47.7,47.7,598001,28.4621588742932,15.0869106130152,4.15093051269158,2.17114166914925
"E63","E63_NT_CR41","FOR_NT_CR41","treatment","NT",1992,NA,"Fort Vermillion, Alberta",47.7,47.7,598001,29.0191368806134,14.4934910356331,4.18737208375345,1.76917114771417
"E63","E63_NT_CR42","FOR_NT_CR42","treatment","NT",1992,NA,"Fort Vermillion, Alberta",47.7,47.7,598001,29.0575720479237,14.4525411588282,4.18988679324812,2.07260808917321
"E64","E64_CT","STA_CT_CR43","treatment","FT",1998,NA,"Star City, Saskatchewan",82.4,82.4,705006,25.9596121248966,45.9713951776571,10.4689926974462,2.47898457328384
"E64","E64_NT","STA_NT_CR43","treatment","NT",1998,NA,"Star City, Saskatchewan",82.4,82.4,705006,48.015095600925,28.006930635803,6.37797376327198,2.53988795231842
"E65","E65_CT","WOO_CT_CR8","treatment","FT",1993,NA,"Woodslee,  Ontario",76.5,76.5,570007,16.9701285031158,50.516328062231,9.01354343465322,3.44002074185511
"E65","E65_NT","WOO_NT_CR8","treatment","NT",1993,NA,"Woodslee,  Ontario",76.5,76.5,570007,35.4915649471552,34.7992613852128,6.20917366763204,3.44002074185511
"E66","E66_CT","WOO_CT_CR44","treatment","FT",1993,NA,"Woodslee,  Ontario",76.5,76.5,570007,17.7742692824578,49.2416277534133,9.48410296412893,3.41477312866789
"E66","E66_NT","WOO_NT_CR44","treatment","NT",1993,NA,"Woodslee,  Ontario",76.5,76.5,570007,36.6332709386024,33.4283219331848,6.43840712821275,3.41477312866789
"E67","E67_NT_CR2 + E72_NT_CR2","SWI_NT_CR2","treatment","NT",1982,NA,"Swift Current, Saskatchewan",46.8,46.8,825007,26.2963853446686,15.5354053830085,4.96820927232297,0.674482567079197
"E67","E6_Field 1.11_CT_T19_CR13 + E6_Field 2.11_CT_T19_CR13 + E67_CT_CR2 + E72_CT_CR2","SWI_CT_CR2","treatment","FT",1967,NA,"Swift Current, Saskatchewan",46.8,46.8,825007,13.5579311136196,27.681794591364,5.56027429501649,1.06173985300467
"E67","E67_NT_CR1 + E72_NT_CR1","SWI_NT_CR1","treatment","NT",1982,NA,"Swift Current, Saskatchewan",46.8,46.8,825007,26.2963853446686,15.5354053830085,4.96820927232297,1.71337748843528
"E67","E6_Field 1.8_CT_T14_CR10 + E67_CT_CR1 + E72_CT_CR1","SWI_CT_CR1","treatment","FT",1967,NA,"Swift Current, Saskatchewan",46.8,46.8,825007,13.5579311136196,27.681794591364,5.56027429501649,1.63366534826975
"E69","E69_CT_CR32","SCO_CT_CR32","treatment","FT",1979,NA,"Scott, Saskatchewan",53.7,53.7,767001,16.6842670736575,30.9967237538704,6.01900917247204,1.95681541634532
"E69","E69_NT_CR33","SCO_NT_CR33","treatment","NT",1979,NA,"Scott, Saskatchewan",53.7,53.7,767001,31.0267511385351,18.9864248523751,3.68682400908989,1.6074098850135
