"site","POLYID","Freq","experiment","year","input_type","modelled_SOC","init_active_frac","init_slow_frac","init_passive_frac"
"E23_NT","441026",3,"E23",1994,"0-60",40.55,22.2590518979449,15.6014843533709,2.68946374868418
"E24_CT","425023",5,"E24",1994,"0-60",52.1,12.3163719976201,33.2919229413026,6.49170506107726
"E24_NT","425023",5,"E24",1994,"0-60",62.5,30.2817915847725,26.9609928939215,5.25721552130597
"E25_CT","568002",4,"E25",1994,"0-60",30,6.55737689436735,17.9011450787007,5.54147802693198
"E25_NT","568002",4,"E25",1994,"0-60",26.9,12.3534107798661,11.1079977209254,3.43859149920852
"E26_CT","570007",11,"E26",1994,"0-60",74.65,16.2868290431854,49.4217630013105,8.94140795550413
"E26_NT","570007",11,"E26",1994,"0-60",73.75,33.8252759523373,33.8081399181742,6.11658412948854
"E27_CT","536013",6,"E27",1988,"0-16",44.85,10.8609997473403,27.2900385396836,6.69896171297612
"E27_NT","536013",6,"E27",1988,"0-16",46.75,23.0206887544494,19.0524526640217,4.67685858152883
"E28_CT","560003",20,"E28",1999,"0-40",81.9,18.7695491705774,52.9644023731248,10.1660484562978
"E28_NT","560003",20,"E28",1999,"0-40",88.7,42.0806750696616,39.1121028209593,7.50722210937911
"E29_CT_CR10","793011",4,"E29",1997,"0-30",28.3,8.22057030958102,16.8366368580765,3.24279283234249
"E29_CT_CR9","793011",4,"E29",1997,"0-30",28.3,8.22057030958102,16.8366368580765,3.24279283234249
"E29_NT_CR10","793011",4,"E29",1997,"0-30",30.1,16.6801508835683,11.2525669178418,2.1672821985899
"E29_NT_CR9","793011",4,"E29",1997,"0-30",30.1,16.6801508835683,11.2525669178418,2.1672821985899
"E3_0_CT","425023",26,"E3",1992,"0-30",84.14674899,19.7715926606805,53.5785174179258,10.7966389113938
"E3_100_CT","425023",26,"E3",1992,"0-30",81.7305297,19.2038642082546,52.0400450601859,10.4866204315595
"E3_200_CT","425023",26,"E3",1992,"0-30",80.5975927,18.9376629688357,51.3186733433163,10.3412563878481
