"site","TrtID","POLYID","year","sand","cinput","ligfrac","nfrac","till","irrig"
"E11_CT_CR1","E11_CT_CR1",825007,1990,0.71,1.75301779559987,0.053,0.007,"FT",0
"E11_CT_CR1","E11_CT_CR1",825007,1991,0.71,1.75301779559987,0.053,0.007,"FT",0
"E11_CT_CR1","E11_CT_CR1",825007,1992,0.71,1.75301779559987,0.053,0.007,"FT",0
"E11_CT_CR2","E11_CT_CR2",825007,1982,0.71,0.25,0.053,0.007,"FT",0
"E11_CT_CR2","E11_CT_CR2",825007,1983,0.71,1.14780133392619,0.053,0.007,"FT",0
"E11_CT_CR2","E11_CT_CR2",825007,1984,0.71,0.25,0.053,0.007,"FT",0
"E11_CT_CR2","E11_CT_CR2",825007,1985,0.71,1.14780133392619,0.053,0.007,"FT",0
"E11_CT_CR2","E11_CT_CR2",825007,1986,0.71,0.25,0.053,0.007,"FT",0
"E11_CT_CR2","E11_CT_CR2",825007,1987,0.71,1.14780133392619,0.053,0.007,"FT",0
"E11_CT_CR2","E11_CT_CR2",825007,1988,0.71,0.25,0.053,0.007,"FT",0
"E11_CT_CR2","E11_CT_CR2",825007,1989,0.71,1.14780133392619,0.053,0.007,"FT",0
"E11_CT_CR2","E11_CT_CR2",825007,1990,0.71,0.25,0.053,0.007,"FT",0
"E11_CT_CR2","E11_CT_CR2",825007,1991,0.71,1.14780133392619,0.053,0.007,"FT",0
"E11_CT_CR2","E11_CT_CR2",825007,1992,0.71,0.25,0.053,0.007,"FT",0
"E11_NT_CR1","E11_NT_CR1",825007,1982,0.71,1.75301779559987,0.053,0.007,"NT",0
"E11_NT_CR1","E11_NT_CR1",825007,1983,0.71,1.75301779559987,0.053,0.007,"NT",0
"E11_NT_CR1","E11_NT_CR1",825007,1984,0.71,1.75301779559987,0.053,0.007,"NT",0
"E11_NT_CR1","E11_NT_CR1",825007,1985,0.71,1.75301779559987,0.053,0.007,"NT",0
"E11_NT_CR1","E11_NT_CR1",825007,1986,0.71,1.75301779559987,0.053,0.007,"NT",0
"E11_NT_CR1","E11_NT_CR1",825007,1987,0.71,1.75301779559987,0.053,0.007,"NT",0
"E11_NT_CR1","E11_NT_CR1",825007,1988,0.71,1.75301779559987,0.053,0.007,"NT",0
"E11_NT_CR1","E11_NT_CR1",825007,1989,0.71,1.75301779559987,0.053,0.007,"NT",0
"E11_NT_CR1","E11_NT_CR1",825007,1990,0.71,1.75301779559987,0.053,0.007,"NT",0
"E11_NT_CR1","E11_NT_CR1",825007,1991,0.71,1.75301779559987,0.053,0.007,"NT",0
"E11_NT_CR1","E11_NT_CR1",825007,1992,0.71,1.75301779559987,0.053,0.007,"NT",0
"E11_NT_CR2","E11_NT_CR2",825007,1982,0.71,1.14780133392619,0.053,0.007,"NT",0
"E11_NT_CR2","E11_NT_CR2",825007,1983,0.71,0.25,0.053,0.007,"NT",0
"E11_NT_CR2","E11_NT_CR2",825007,1984,0.71,1.14780133392619,0.053,0.007,"NT",0
"E11_NT_CR2","E11_NT_CR2",825007,1985,0.71,0.25,0.053,0.007,"NT",0
"E11_NT_CR2","E11_NT_CR2",825007,1986,0.71,1.14780133392619,0.053,0.007,"NT",0
"E11_NT_CR2","E11_NT_CR2",825007,1987,0.71,0.25,0.053,0.007,"NT",0
"E11_NT_CR2","E11_NT_CR2",825007,1988,0.71,1.14780133392619,0.053,0.007,"NT",0
"E11_NT_CR2","E11_NT_CR2",825007,1989,0.71,0.25,0.053,0.007,"NT",0
"E11_NT_CR2","E11_NT_CR2",825007,1990,0.71,1.14780133392619,0.053,0.007,"NT",0
"E11_NT_CR2","E11_NT_CR2",825007,1991,0.71,0.25,0.053,0.007,"NT",0
"E11_NT_CR2","E11_NT_CR2",825007,1992,0.71,1.14780133392619,0.053,0.007,"NT",0
"E12_CT_CR1","E12_CT_CR1",793011,1976,0.355571428571429,0.957330876135638,0.053,0.007,"FT",0
"E12_CT_CR1","E12_CT_CR1",793011,1977,0.355571428571429,0.957330876135638,0.053,0.007,"FT",0
"E12_CT_CR1","E12_CT_CR1",793011,1978,0.355571428571429,0.957330876135638,0.053,0.007,"FT",0
"E12_CT_CR1","E12_CT_CR1",793011,1979,0.355571428571429,0.957330876135638,0.053,0.007,"FT",0
"E12_CT_CR1","E12_CT_CR1",793011,1980,0.355571428571429,0.957330876135638,0.053,0.007,"FT",0
"E12_CT_CR1","E12_CT_CR1",793011,1981,0.355571428571429,0.957330876135638,0.053,0.007,"FT",0
"E12_CT_CR1","E12_CT_CR1",793011,1982,0.355571428571429,0.957330876135638,0.053,0.007,"FT",0
"E12_CT_CR1","E12_CT_CR1",793011,1983,0.355571428571429,0.957330876135638,0.053,0.007,"FT",0
"E12_CT_CR1","E12_CT_CR1",793011,1984,0.355571428571429,0.957330876135638,0.053,0.007,"FT",0
"E12_CT_CR1","E12_CT_CR1",793011,1985,0.355571428571429,0.957330876135638,0.053,0.007,"FT",0
"E12_CT_CR1","E12_CT_CR1",793011,1986,0.355571428571429,0.957330876135638,0.053,0.007,"FT",0
"E12_CT_CR1","E12_CT_CR1",793011,1987,0.355571428571429,0.957330876135638,0.053,0.007,"FT",0
"E12_CT_CR1","E12_CT_CR1",793011,1988,0.355571428571429,0.957330876135638,0.053,0.007,"FT",0
"E12_CT_CR1","E12_CT_CR1",793011,1989,0.355571428571429,0.957330876135638,0.053,0.007,"FT",0
"E12_CT_CR1","E12_CT_CR1",793011,1990,0.355571428571429,0.957330876135638,0.053,0.007,"FT",0
"E12_CT_CR1","E12_CT_CR1",793011,1991,0.355571428571429,0.957330876135638,0.053,0.007,"FT",0
"E12_CT_CR2","E12_CT_CR2",793011,1976,0.355571428571429,0.25,0.053,0.007,"FT",0
"E12_CT_CR2","E12_CT_CR2",793011,1977,0.355571428571429,0.818664915964493,0.053,0.007,"FT",0
"E12_CT_CR2","E12_CT_CR2",793011,1978,0.355571428571429,0.25,0.053,0.007,"FT",0
"E12_CT_CR2","E12_CT_CR2",793011,1979,0.355571428571429,0.818664915964493,0.053,0.007,"FT",0
"E12_CT_CR2","E12_CT_CR2",793011,1980,0.355571428571429,0.25,0.053,0.007,"FT",0
"E12_CT_CR2","E12_CT_CR2",793011,1981,0.355571428571429,0.818664915964493,0.053,0.007,"FT",0
"E12_CT_CR2","E12_CT_CR2",793011,1982,0.355571428571429,0.25,0.053,0.007,"FT",0
"E12_CT_CR2","E12_CT_CR2",793011,1983,0.355571428571429,0.818664915964493,0.053,0.007,"FT",0
"E12_CT_CR2","E12_CT_CR2",793011,1984,0.355571428571429,0.25,0.053,0.007,"FT",0
"E12_CT_CR2","E12_CT_CR2",793011,1985,0.355571428571429,0.818664915964493,0.053,0.007,"FT",0
"E12_CT_CR2","E12_CT_CR2",793011,1986,0.355571428571429,0.25,0.053,0.007,"FT",0
"E12_CT_CR2","E12_CT_CR2",793011,1987,0.355571428571429,0.818664915964493,0.053,0.007,"FT",0
"E12_CT_CR2","E12_CT_CR2",793011,1988,0.355571428571429,0.25,0.053,0.007,"FT",0
"E12_CT_CR2","E12_CT_CR2",793011,1989,0.355571428571429,0.818664915964493,0.053,0.007,"FT",0
"E12_CT_CR2","E12_CT_CR2",793011,1990,0.355571428571429,0.25,0.053,0.007,"FT",0
"E12_CT_CR2","E12_CT_CR2",793011,1991,0.355571428571429,0.818664915964493,0.053,0.007,"FT",0
"E12_NT_CR1","E12_NT_CR1",793011,1976,0.355571428571429,0.957330876135638,0.053,0.007,"NT",0
"E12_NT_CR1","E12_NT_CR1",793011,1977,0.355571428571429,0.957330876135638,0.053,0.007,"NT",0
"E12_NT_CR1","E12_NT_CR1",793011,1978,0.355571428571429,0.957330876135638,0.053,0.007,"NT",0
"E12_NT_CR1","E12_NT_CR1",793011,1979,0.355571428571429,0.957330876135638,0.053,0.007,"NT",0
"E12_NT_CR1","E12_NT_CR1",793011,1980,0.355571428571429,0.957330876135638,0.053,0.007,"NT",0
"E12_NT_CR1","E12_NT_CR1",793011,1981,0.355571428571429,0.957330876135638,0.053,0.007,"NT",0
"E12_NT_CR1","E12_NT_CR1",793011,1982,0.355571428571429,0.957330876135638,0.053,0.007,"NT",0
"E12_NT_CR1","E12_NT_CR1",793011,1983,0.355571428571429,0.957330876135638,0.053,0.007,"NT",0
"E12_NT_CR1","E12_NT_CR1",793011,1984,0.355571428571429,0.957330876135638,0.053,0.007,"NT",0
"E12_NT_CR1","E12_NT_CR1",793011,1985,0.355571428571429,0.957330876135638,0.053,0.007,"NT",0
"E12_NT_CR1","E12_NT_CR1",793011,1986,0.355571428571429,0.957330876135638,0.053,0.007,"NT",0
"E12_NT_CR1","E12_NT_CR1",793011,1987,0.355571428571429,0.957330876135638,0.053,0.007,"NT",0
"E12_NT_CR1","E12_NT_CR1",793011,1988,0.355571428571429,0.957330876135638,0.053,0.007,"NT",0
"E12_NT_CR1","E12_NT_CR1",793011,1989,0.355571428571429,0.957330876135638,0.053,0.007,"NT",0
"E12_NT_CR1","E12_NT_CR1",793011,1990,0.355571428571429,0.957330876135638,0.053,0.007,"NT",0
"E12_NT_CR1","E12_NT_CR1",793011,1991,0.355571428571429,0.957330876135638,0.053,0.007,"NT",0
"E12_NT_CR2","E12_NT_CR2",793011,1976,0.355571428571429,0.25,0.053,0.007,"NT",0
"E12_NT_CR2","E12_NT_CR2",793011,1977,0.355571428571429,0.818664915964493,0.053,0.007,"NT",0
"E12_NT_CR2","E12_NT_CR2",793011,1978,0.355571428571429,0.25,0.053,0.007,"NT",0
"E12_NT_CR2","E12_NT_CR2",793011,1979,0.355571428571429,0.818664915964493,0.053,0.007,"NT",0
"E12_NT_CR2","E12_NT_CR2",793011,1980,0.355571428571429,0.25,0.053,0.007,"NT",0
"E12_NT_CR2","E12_NT_CR2",793011,1981,0.355571428571429,0.818664915964493,0.053,0.007,"NT",0
"E12_NT_CR2","E12_NT_CR2",793011,1982,0.355571428571429,0.25,0.053,0.007,"NT",0
"E12_NT_CR2","E12_NT_CR2",793011,1983,0.355571428571429,0.818664915964493,0.053,0.007,"NT",0
"E12_NT_CR2","E12_NT_CR2",793011,1984,0.355571428571429,0.25,0.053,0.007,"NT",0
"E12_NT_CR2","E12_NT_CR2",793011,1985,0.355571428571429,0.818664915964493,0.053,0.007,"NT",0
"E12_NT_CR2","E12_NT_CR2",793011,1986,0.355571428571429,0.25,0.053,0.007,"NT",0
"E12_NT_CR2","E12_NT_CR2",793011,1987,0.355571428571429,0.818664915964493,0.053,0.007,"NT",0
"E12_NT_CR2","E12_NT_CR2",793011,1988,0.355571428571429,0.25,0.053,0.007,"NT",0
"E12_NT_CR2","E12_NT_CR2",793011,1989,0.355571428571429,0.818664915964493,0.053,0.007,"NT",0
"E12_NT_CR2","E12_NT_CR2",793011,1990,0.355571428571429,0.25,0.053,0.007,"NT",0
"E12_NT_CR2","E12_NT_CR2",793011,1991,0.355571428571429,0.818664915964493,0.053,0.007,"NT",0
"E13_CT","E13_CT_CR3",692009,1979,0.33,1.82082007577838,0.046,0.009,"FT",0
"E13_CT","E13_CT_CR3",692009,1980,0.33,1.82082007577838,0.046,0.009,"FT",0
"E13_CT","E13_CT_CR3",692009,1981,0.33,1.82082007577838,0.046,0.009,"FT",0
"E13_CT","E13_CT_CR3",692009,1982,0.33,1.82082007577838,0.046,0.009,"FT",0
"E13_CT","E13_CT_CR3",692009,1983,0.33,1.82082007577838,0.046,0.009,"FT",0
"E13_CT","E13_CT_CR3",692009,1984,0.33,1.82082007577838,0.046,0.009,"FT",0
"E13_CT","E13_CT_CR3",692009,1985,0.33,1.82082007577838,0.046,0.009,"FT",0
"E13_CT","E13_CT_CR3",692009,1986,0.33,1.82082007577838,0.046,0.009,"FT",0
"E13_CT","E13_CT_CR3",692009,1987,0.33,1.82082007577838,0.046,0.009,"FT",0
"E13_CT","E13_CT_CR3",692009,1988,0.33,1.82082007577838,0.046,0.009,"FT",0
"E13_CT","E13_CT_CR3",692009,1989,0.33,1.82082007577838,0.046,0.009,"FT",0
"E13_NT","E13_NT_CR3",692009,1979,0.33,1.53744111653137,0.046,0.009,"NT",0
"E13_NT","E13_NT_CR3",692009,1980,0.33,1.53744111653137,0.046,0.009,"NT",0
"E13_NT","E13_NT_CR3",692009,1981,0.33,1.53744111653137,0.046,0.009,"NT",0
"E13_NT","E13_NT_CR3",692009,1982,0.33,1.53744111653137,0.046,0.009,"NT",0
"E13_NT","E13_NT_CR3",692009,1983,0.33,1.53744111653137,0.046,0.009,"NT",0
"E13_NT","E13_NT_CR3",692009,1984,0.33,1.53744111653137,0.046,0.009,"NT",0
"E13_NT","E13_NT_CR3",692009,1985,0.33,1.53744111653137,0.046,0.009,"NT",0
