"site","experiment","year","input_type","modelled_SOC"
"E48_NT","E48",1998,"0-15",132.9
"E49_CT","E49",2006,"0-15",131.4
"E49_NT","E49",2006,"0-15",132.4
"E4_101","E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",78.85
"E4_102","E4",1954,"c(""0-15"", ""15-30"")",95.2
"E4_103","E4",1954,"c(""0-15"", ""15-30"")",87.7
"E4_104","E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",71.3
"E4_105","E4",1954,"c(""0-15"", ""15-30"")",89.3
"E4_106","E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",90.1
"E4_107","E4",1954,"c(""0-15"", ""15-30"")",92.6
"E4_108","E4",1954,"c(""0-15"", ""15-30"")",90.2
"E4_109","E4",1954,"c(""0-15"", ""15-30"")",94.2
"E4_110","E4",1954,"c(""0-15"", ""15-30"")",91.8
"E4_111","E4",1954,"c(""0-15"", ""15-30"")",85
"E4_112","E4",1954,"c(""0-15"", ""15-30"")",89.7
"E4_113","E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",83.35
"E4_114","E4",1954,"c(""0-15"", ""15-30"")",84.6
"E4_115","E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",81.6
"E4_116","E4",1954,"c(""0-15"", ""15-30"")",88.6
"E4_117","E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",80.6
"E4_118","E4",1954,"c(""0-15"", ""15-30"")",90.6
"E4_119","E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",108.5
"E4_120","E4",1954,"c(""0-15"", ""15-30"")",93.6
"E4_121","E4",1954,"c(""0-15"", ""15-30"")",94.3
"E4_122","E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",95.95
"E4_123","E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",96.05
"E4_124","E4",1954,"c(""0-15"", ""15-30"")",98.9
"E4_125","E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",92.85
"E4_126","E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",86.65
"E4_127","E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",92.85
"E4_128","E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",103.9
"E4_129","E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",86.05
"E4_201","E4",1954,"c(""0-15"", ""15-30"")",94.8
"E4_202","E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",94.1
"E4_203","E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",96.2
"E4_204","E4",1954,"c(""0-15"", ""15-30"")",95
"E4_205","E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",88.2
"E4_206","E4",1954,"c(""0-15"", ""15-30"")",98.1
"E4_207","E4",1954,"c(""0-15"", ""15-30"")",97.1
"E4_208","E4",1954,"c(""0-15"", ""15-30"")",95.8
"E4_209","E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",90.2
"E4_210","E4",1954,"c(""0-15"", ""15-30"")",100.3
"E4_211","E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",88.15
"E4_212","E4",1954,"c(""0-15"", ""15-30"")",91.7
"E4_213","E4",1954,"c(""0-15"", ""15-30"")",96.2
"E4_214","E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",96.2
"E4_215","E4",1954,"c(""0-15"", ""15-30"")",101
"E4_216","E4",1954,"c(""0-15"", ""15-30"")",103
"E4_217","E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",96.35
"E4_218","E4",1954,"c(""0-15"", ""15-30"")",93.2
"E4_219","E4",1954,"c(""0-15"", ""15-30"")",95.6
"E4_220","E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",97.05
"E4_221","E4",1954,"c(""0-15"", ""15-30"")",100.5
"E4_222","E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",80.8
"E4_223","E4",1954,"c(""0-15"", ""15-30"")",95.4
"E4_224","E4",1954,"c(""0-15"", ""15-30"")",88.2
"E4_225","E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",111.1
"E4_226","E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",86.9
"E4_227","E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",79.15
"E4_228","E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",78.55
"E4_229","E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",79.85
"E4_301","E4",1954,"c(""0-15"", ""15-30"")",102.6
"E4_302","E4",1954,"c(""0-15"", ""15-30"")",96.2
"E4_303","E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",78.85
"E4_304","E4",1954,"c(""0-15"", ""15-30"")",92.5
"E4_305","E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",94.1
"E4_306","E4",1954,"c(""0-15"", ""15-30"")",98.1
"E4_307","E4",1954,"c(""0-15"", ""15-30"")",88.9
"E4_308","E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",89.35
"E4_309","E4",1954,"c(""0-15"", ""15-30"")",110
"E4_310","E4",1954,"c(""0-15"", ""15-30"")",100.5
"E4_311","E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",73.2
"E4_312","E4",1954,"c(""0-15"", ""15-30"")",98.3
"E4_313","E4",1954,"c(""0-15"", ""15-30"")",101
"E4_314","E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",89.45
"E4_315","E4",1954,"c(""0-15"", ""15-30"")",99.5
"E4_316","E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",78.4
"E4_317","E4",1954,"c(""0-15"", ""15-30"")",91.9
"E4_318","E4",1954,"c(""0-15"", ""15-30"")",93.8
"E4_319","E4",1954,"c(""0-15"", ""15-30"")",91.5
"E4_320","E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",92.55
"E4_321","E4",1954,"c(""0-15"", ""15-30"")",96.1
"E4_322","E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",75.65
"E4_323","E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",94.6
"E4_324","E4",1954,"c(""0-15"", ""15-30"")",83.5
"E4_325","E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",97.65
"E4_326","E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",91.7
"E4_327","E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",82.7
"E4_328","E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",89.05
"E4_329","E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",94.05
"E4_401","E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",89.6
"E4_402","E4",1954,"c(""0-15"", ""15-30"")",92.3
"E4_403","E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",110.2
"E4_404","E4",1954,"c(""0-15"", ""15-30"")",91.1
"E4_405","E4",1954,"c(""0-15"", ""15-30"")",90.5
"E4_406","E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",88.9
"E4_407","E4",1954,"c(""0-15"", ""15-30"")",88.9
"E4_408","E4",1954,"c(""0-15"", ""15-30"")",84
"E4_409","E4",1954,"c(""0-15"", ""15-30"")",92.5
"E4_410","E4",1954,"c(""0-15"", ""15-30"")",93.1
"E4_411","E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",74.75
"E4_412","E4",1954,"c(""0-15"", ""15-30"")",87
"E4_413","E4",1954,"c(""0-15"", ""15-30"")",84.7
"E4_414","E4",1954,"c(""0-15"", ""15-30"")",91.5
"E4_415","E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",91.2
"E4_416","E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",76.2
"E4_417","E4",1954,"c(""0-15"", ""15-30"")",76.5
"E4_418","E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",86
"E4_419","E4",1954,"c(""0-15"", ""15-30"")",84.7
"E4_420","E4",1954,"c(""0-15"", ""15-30"")",86.9
"E4_421","E4",1954,"c(""0-15"", ""15-30"")",90.1
"E4_422","E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",91.35
"E4_423","E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",104.5
"E4_424","E4",1954,"c(""0-15"", ""15-30"")",95
"E4_425","E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",107.5
"E4_426","E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",85.35
"E4_427","E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",87.55
"E4_428","E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",86
"E4_429","E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",82.95
"E50_CT_CR25","E50",2001,"0-15",78
"E50_CT_CR26","E50",2001,"0-15",78
"E50_CT_CR27","E50",2001,"0-15",78
"E50_NT_CR25","E50",2001,"0-15",81.4
"E50_NT_CR26","E50",2001,"0-15",81.4
"E50_NT_CR27","E50",2001,"0-15",81.4
"E51_CT","E51",2005,"0-30",63.9
"E51_NT","E51",2005,"0-30",78.5
"E52_CT_CR28","E52",2005,"0-30",76
"E52_CT_CR29","E52",2005,"0-30",76
