"site","experiment","year","input_type","modelled_SOC"
"E7_Field 1T3","E7",1987,"c(""0-7.5"", ""0-15"", ""7.5-15"", ""15-30"")",63.4955763845
"E7_Field 1T4","E7",1987,"c(""0-7.5"", ""0-15"", ""7.5-15"", ""15-30"")",62.6228288435
"E7_Field 1T5","E7",1987,"c(""0-7.5"", ""0-15"", ""7.5-15"", ""15-30"")",63.4338015625
"E7_Field 1T6","E7",1987,"c(""0-7.5"", ""0-15"", ""7.5-15"", ""15-30"")",65.72408625
"E7_Field 1T7","E7",1987,"c(""0-7.5"", ""0-15"", ""7.5-15"", ""15-30"")",67.3809965421667
"E7_Field 1T8","E7",1987,"c(""0-7.5"", ""0-15"", ""7.5-15"", ""15-30"")",58.6734720833333
"E7_Field 1T9","E7",2003,"c(""0-7.5"", ""0-15"", ""7.5-15"", ""15-30"")",63.3789673555
"E7_Field 2T1","E7",1987,"c(""0-7.5"", ""0-15"", ""7.5-15"", ""15-30"")",64.5436745833333
"E7_Field 2T2","E7",1987,"c(""0-7.5"", ""0-15"", ""7.5-15"", ""15-30"")",64.1139333411667
"E7_Field 2T3","E7",1987,"c(""0-7.5"", ""0-15"", ""7.5-15"", ""15-30"")",63.4955763845
"E7_Field 2T4","E7",1987,"c(""0-7.5"", ""0-15"", ""7.5-15"", ""15-30"")",62.6228288435
"E7_Field 2T5","E7",1987,"c(""0-7.5"", ""0-15"", ""7.5-15"", ""15-30"")",63.4338015625
"E7_Field 2T9","E7",2003,"c(""0-7.5"", ""0-15"", ""7.5-15"", ""15-30"")",63.3789673555
"E7_Field 3T1","E7",1987,"c(""0-7.5"", ""0-15"", ""7.5-15"", ""15-30"")",64.5436745833333
"E7_Field 3T2","E7",1987,"c(""0-7.5"", ""0-15"", ""7.5-15"", ""15-30"")",64.1139333411667
"E7_Field 3T3","E7",1987,"c(""0-7.5"", ""0-15"", ""7.5-15"", ""15-30"")",63.4955763845
"E7_Field 3T4","E7",1987,"c(""0-7.5"", ""0-15"", ""7.5-15"", ""15-30"")",62.6228288435
"E7_Field 3T5","E7",1987,"c(""0-7.5"", ""0-15"", ""7.5-15"", ""15-30"")",63.4338015625
"E7_Field 3T9","E7",2003,"c(""0-7.5"", ""0-15"", ""7.5-15"", ""15-30"")",63.3789673555
"E7_Field 4T5","E7",1987,"c(""0-7.5"", ""0-15"", ""7.5-15"", ""15-30"")",63.4338015625
"E7_Field 4T9","E7",2003,"c(""0-7.5"", ""0-15"", ""7.5-15"", ""15-30"")",63.3789673555
"E8_Field 1T1","E8",2000,"c(""0-7.5"", ""0-15"", ""7.5-15"")",52.9971406244444
"E8_Field 1T2","E8",2000,"c(""0-7.5"", ""0-15"", ""7.5-15"")",52.4584531244444
"E8_Field 1T3","E8",2000,"c(""0-7.5"", ""0-15"", ""7.5-15"")",52.6572031244445
"E8_Field 1T4","E8",2000,"c(""0-7.5"", ""0-15"", ""7.5-15"")",53.1502812544445
"E8_Field 1T5","E8",2000,"c(""0-7.5"", ""0-15"", ""7.5-15"")",54.0646718744444
"E8_Field 1T6","E8",2000,"c(""0-7.5"", ""0-15"", ""7.5-15"")",54.1309531244444
"E8_Field 1T7","E8",2000,"c(""0-7.5"", ""0-15"", ""7.5-15"")",54.1292656244444
"E8_Field 1T8","E8",2000,"c(""0-7.5"", ""0-15"", ""7.5-15"")",55.2740468744445
"E8_Field 1T9","E8",2000,"c(""0-7.5"", ""0-15"", ""7.5-15"")",54.4379843744444
"E8_Field 2T1","E8",2000,"c(""0-7.5"", ""0-15"", ""7.5-15"")",52.9971406244444
"E8_Field 2T2","E8",2000,"c(""0-7.5"", ""0-15"", ""7.5-15"")",52.4584531244444
"E8_Field 2T3","E8",2000,"c(""0-7.5"", ""0-15"", ""7.5-15"")",52.6572031244445
"E8_Field 2T4","E8",2000,"c(""0-7.5"", ""0-15"", ""7.5-15"")",53.1502812544445
"E8_Field 2T5","E8",2000,"c(""0-7.5"", ""0-15"", ""7.5-15"")",54.0646718744444
"E8_Field 2T6","E8",2000,"c(""0-7.5"", ""0-15"", ""7.5-15"")",54.1309531244444
"E8_Field 2T7","E8",2000,"c(""0-7.5"", ""0-15"", ""7.5-15"")",54.1292656244444
"E8_Field 2T8","E8",2000,"c(""0-7.5"", ""0-15"", ""7.5-15"")",55.2740468744445
"E8_Field 2T9","E8",2000,"c(""0-7.5"", ""0-15"", ""7.5-15"")",54.4379843744444
"E8_Field 3T1","E8",2000,"c(""0-7.5"", ""0-15"", ""7.5-15"")",52.9971406244444
"E8_Field 3T2","E8",2000,"c(""0-7.5"", ""0-15"", ""7.5-15"")",52.4584531244444
"E8_Field 3T3","E8",2000,"c(""0-7.5"", ""0-15"", ""7.5-15"")",52.6572031244445
"E8_Field 3T4","E8",2000,"c(""0-7.5"", ""0-15"", ""7.5-15"")",53.1502812544445
"E8_Field 3T5","E8",2000,"c(""0-7.5"", ""0-15"", ""7.5-15"")",54.0646718744444
"E8_Field 3T6","E8",2000,"c(""0-7.5"", ""0-15"", ""7.5-15"")",54.1309531244444
"E8_Field 3T7","E8",2000,"c(""0-7.5"", ""0-15"", ""7.5-15"")",54.1292656244444
"E8_Field 3T8","E8",2000,"c(""0-7.5"", ""0-15"", ""7.5-15"")",55.2740468744445
"E8_Field 3T9","E8",2000,"c(""0-7.5"", ""0-15"", ""7.5-15"")",54.4379843744444
"E8_Field 4T1","E8",2000,"c(""0-7.5"", ""0-15"", ""7.5-15"")",52.9971406244444
"E8_Field 4T2","E8",2000,"c(""0-7.5"", ""0-15"", ""7.5-15"")",52.4584531244444
"E8_Field 4T3","E8",2000,"c(""0-7.5"", ""0-15"", ""7.5-15"")",52.6572031244445
"E8_Field 4T4","E8",2000,"c(""0-7.5"", ""0-15"", ""7.5-15"")",53.1502812544445
"E8_Field 4T5","E8",2000,"c(""0-7.5"", ""0-15"", ""7.5-15"")",54.0646718744444
"E8_Field 4T6","E8",2000,"c(""0-7.5"", ""0-15"", ""7.5-15"")",54.1309531244444
"E8_Field 4T7","E8",2000,"c(""0-7.5"", ""0-15"", ""7.5-15"")",54.1292656244444
"E8_Field 4T8","E8",2000,"c(""0-7.5"", ""0-15"", ""7.5-15"")",55.2740468744445
"E8_Field 4T9","E8",2000,"c(""0-7.5"", ""0-15"", ""7.5-15"")",54.4379843744444
"E8_Field 5T1","E8",2000,"c(""0-7.5"", ""0-15"", ""7.5-15"")",52.9971406244444
"E8_Field 5T2","E8",2000,"c(""0-7.5"", ""0-15"", ""7.5-15"")",52.4584531244444
"E8_Field 5T3","E8",2000,"c(""0-7.5"", ""0-15"", ""7.5-15"")",52.6572031244445
"E8_Field 5T4","E8",2000,"c(""0-7.5"", ""0-15"", ""7.5-15"")",53.1502812544445
"E8_Field 5T5","E8",2000,"c(""0-7.5"", ""0-15"", ""7.5-15"")",54.0646718744444
"E8_Field 5T6","E8",2000,"c(""0-7.5"", ""0-15"", ""7.5-15"")",54.1309531244444
"E8_Field 5T7","E8",2000,"c(""0-7.5"", ""0-15"", ""7.5-15"")",54.1292656244444
"E8_Field 5T8","E8",2000,"c(""0-7.5"", ""0-15"", ""7.5-15"")",55.2740468744445
"E8_Field 5T9","E8",2000,"c(""0-7.5"", ""0-15"", ""7.5-15"")",54.4379843744444
"E8_Field 6T1","E8",2000,"c(""0-7.5"", ""0-15"", ""7.5-15"")",52.9971406244444
"E8_Field 6T2","E8",2000,"c(""0-7.5"", ""0-15"", ""7.5-15"")",52.4584531244444
"E8_Field 6T3","E8",2000,"c(""0-7.5"", ""0-15"", ""7.5-15"")",52.6572031244445
"E8_Field 6T4","E8",2000,"c(""0-7.5"", ""0-15"", ""7.5-15"")",53.1502812544445
"E8_Field 6T5","E8",2000,"c(""0-7.5"", ""0-15"", ""7.5-15"")",54.0646718744444
"E8_Field 6T6","E8",2000,"c(""0-7.5"", ""0-15"", ""7.5-15"")",54.1309531244444
"E8_Field 6T7","E8",2000,"c(""0-7.5"", ""0-15"", ""7.5-15"")",54.1292656244444
"E8_Field 6T8","E8",2000,"c(""0-7.5"", ""0-15"", ""7.5-15"")",55.2740468744445
"E8_Field 6T9","E8",2000,"c(""0-7.5"", ""0-15"", ""7.5-15"")",54.4379843744444
