"site","POLYID","year","sand","cinput","ligfrac","nfrac","till","irrig"
"E1_F25NS_CT",727006,1983,0.17,2.305652174,0.1,0.1,"FT",0
"E1_F25NS_CT",727006,1984,0.17,2.368555,0.1,0.1,"FT",0
"E1_F25NS_CT",727006,1985,0.17,2.30237,0.1,0.1,"FT",0
"E1_F25NS_CT",727006,1986,0.17,3.54578,0.1,0.1,"FT",0
"E1_F25NS_CT",727006,1987,0.17,2.518085,0.1,0.1,"FT",0
"E1_F25NS_CT",727006,1988,0.17,3.256125,0.1,0.1,"FT",0
"E1_F25NS_CT",727006,1989,0.17,3.036325,0.1,0.1,"FT",0
"E1_F25NS_CT",727006,1990,0.17,3.257075,0.1,0.1,"FT",0
"E1_F25NS_CT",727006,1991,0.17,2.561956522,0.1,0.1,"FT",0
"E1_F25NS_CT",727006,1992,0.17,2.787325,0.1,0.1,"FT",0
"E1_F25NS_CT",727006,1993,0.17,3.481275,0.1,0.1,"FT",0
"E1_F25NS_CT",727006,1994,0.17,2.82715,0.1,0.1,"FT",0
"E1_F25NS_CT",727006,1995,0.17,3.033586957,0.1,0.1,"FT",0
"E1_F25NS_CT",727006,1996,0.17,3.005978261,0.1,0.1,"FT",0
"E1_F25NS_CT",727006,1997,0.17,2.790004093,0.1,0.1,"FT",0
"E1_F25NS_CT",727006,1998,0.17,2.599425273,0.1,0.1,"FT",0
"E1_F25NS_CT",727006,1999,0.17,2.292586839,0.1,0.1,"FT",0
"E1_F25NS_CT",727006,2000,0.17,3.185586177,0.1,0.1,"FT",0
"E1_F25NS_CT",727006,2001,0.17,2.201259584,0.1,0.1,"FT",0
"E1_F25NS_CT",727006,2002,0.17,2.72437849,0.1,0.1,"FT",0
"E1_F25NS_CT",727006,2003,0.17,4.967173913,0.1,0.1,"FT",0
"E1_F25NS_CT",727006,2004,0.17,3.173318753,0.1,0.1,"FT",0
"E1_F25NS_CT",727006,2005,0.17,2.136671262,0.1,0.1,"FT",0
"E1_F25NS_CT",727006,2006,0.17,1.726382661,0.1,0.1,"FT",0
"E1_F25NS_CT",727006,2007,0.17,3.641042197,0.1,0.1,"FT",0
"E1_F25NS_CT",727006,2008,0.17,3.592724738,0.1,0.1,"FT",0
"E1_F25NS_CT",727006,2009,0.17,1.837407043,0.1,0.1,"FT",0
"E1_F25S_CT",727006,1983,0.17,2.0025,0.1,0.1,"FT",0
"E1_F25S_CT",727006,1984,0.17,2.65825,0.1,0.1,"FT",0
"E1_F25S_CT",727006,1985,0.17,2.43691,0.1,0.1,"FT",0
"E1_F25S_CT",727006,1986,0.17,3.611965,0.1,0.1,"FT",0
"E1_F25S_CT",727006,1987,0.17,2.75891,0.1,0.1,"FT",0
"E1_F25S_CT",727006,1988,0.17,3.159,0.1,0.1,"FT",0
"E1_F25S_CT",727006,1989,0.17,2.934075,0.1,0.1,"FT",0
"E1_F25S_CT",727006,1990,0.17,3.592,0.1,0.1,"FT",0
"E1_F25S_CT",727006,1991,0.17,2.892391304,0.1,0.1,"FT",0
"E1_F25S_CT",727006,1992,0.17,2.622625,0.1,0.1,"FT",0
"E1_F25S_CT",727006,1993,0.17,3.9324,0.1,0.1,"FT",0
"E1_F25S_CT",727006,1994,0.17,2.495675,0.1,0.1,"FT",0
"E1_F25S_CT",727006,1995,0.17,3.796847826,0.1,0.1,"FT",0
"E1_F25S_CT",727006,1996,0.17,3.065326087,0.1,0.1,"FT",0
"E1_F25S_CT",727006,1997,0.17,2.892764184,0.1,0.1,"FT",0
"E1_F25S_CT",727006,1998,0.17,2.785743108,0.1,0.1,"FT",0
"E1_F25S_CT",727006,1999,0.17,2.255635572,0.1,0.1,"FT",0
