"site","POLYID","Freq","experiment","year","input_type","modelled_SOC","init_active_frac","init_slow_frac","init_passive_frac"
"E32_CT","568001",15,"E32",1999,"0-45",34.3,NA,NA,NA
"E32_NT","568001",15,"E32",1999,"0-45",35.7,NA,NA,NA
"E33_CT","565019",15,"E33",1999,"0-45",46.6,NA,NA,NA
"E33_NT","565019",15,"E33",1999,"0-45",47.9,NA,NA,NA
"E34_CT","565006",15,"E34",1999,"0-45",46.1,NA,NA,NA
"E34_NT","565006",15,"E34",1999,"0-45",38.3,NA,NA,NA
"E35_CT","598001",7,"E35",1997,"0-20",140.4,NA,NA,NA
"E35_NT","598001",7,"E35",1997,"0-20",155.8,NA,NA,NA
"E36_CT","793011",24,"E36",1991,"0-20",93.1,NA,NA,NA
"E36_NT","793011",24,"E36",1991,"0-20",89.9,NA,NA,NA
"E38_CT","793011",9,"E38",1994,"0-20",87.35,NA,NA,NA
"E38_NT","793011",9,"E38",1994,"0-20",95.65,NA,NA,NA
"E4_101","793011",9,"E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",78.85,NA,NA,NA
"E4_103","793011",44,"E4",1954,"c(""0-15"", ""15-30"")",87.7,NA,NA,NA
"E4_104","793011",44,"E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",71.3,NA,NA,NA
"E4_105","793011",44,"E4",1954,"c(""0-15"", ""15-30"")",89.3,NA,NA,NA
"E4_106","793011",10,"E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",90.1,NA,NA,NA
"E4_108","793011",44,"E4",1954,"c(""0-15"", ""15-30"")",90.2,NA,NA,NA
"E4_109","793011",44,"E4",1954,"c(""0-15"", ""15-30"")",94.2,NA,NA,NA
"E4_110","793011",43,"E4",1954,"c(""0-15"", ""15-30"")",91.8,NA,NA,NA
"E4_111","793011",43,"E4",1954,"c(""0-15"", ""15-30"")",85,NA,NA,NA
"E4_112","793011",43,"E4",1954,"c(""0-15"", ""15-30"")",89.7,NA,NA,NA
"E4_113","793011",43,"E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",83.35,NA,NA,NA
"E4_115","793011",10,"E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",81.6,NA,NA,NA
"E4_116","793011",44,"E4",1954,"c(""0-15"", ""15-30"")",88.6,NA,NA,NA
"E4_117","793011",44,"E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",80.6,NA,NA,NA
"E4_118","793011",44,"E4",1954,"c(""0-15"", ""15-30"")",90.6,NA,NA,NA
"E4_119","793011",9,"E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",108.5,NA,NA,NA
"E4_122","793011",9,"E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",95.95,NA,NA,NA
"E4_123","793011",10,"E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",96.05,NA,NA,NA
"E4_125","793011",40,"E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",92.85,NA,NA,NA
"E4_126","793011",9,"E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",86.65,NA,NA,NA
"E4_127","793011",10,"E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",92.85,NA,NA,NA
"E4_128","793011",10,"E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",103.9,NA,NA,NA
"E4_129","793011",10,"E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",86.05,NA,NA,NA
"E4_202","793011",9,"E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",94.1,NA,NA,NA
"E4_203","793011",9,"E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",96.2,NA,NA,NA
"E4_205","793011",10,"E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",88.2,NA,NA,NA
"E4_207","793011",43,"E4",1954,"c(""0-15"", ""15-30"")",97.1,NA,NA,NA
"E4_208","793011",43,"E4",1954,"c(""0-15"", ""15-30"")",95.8,NA,NA,NA
"E4_209","793011",44,"E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",90.2,NA,NA,NA
"E4_210","793011",43,"E4",1954,"c(""0-15"", ""15-30"")",100.3,NA,NA,NA
"E4_211","793011",10,"E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",88.15,NA,NA,NA
"E4_213","793011",44,"E4",1954,"c(""0-15"", ""15-30"")",96.2,NA,NA,NA
"E4_214","793011",44,"E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",96.2,NA,NA,NA
