"site","experiment","TrtID","year","input_type","modelled_SOC"
"E4_223","E4","E4_4_RT_CR3",1974,"c(""0-15"", ""15-30"")",82.4
"E4_223","E4","E4_4_RT_CR3",1985,"c(""0-15"", ""15-30"")",79.4
"E4_223","E4","E4_4_RT_CR3",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",84.8
"E4_224","E4","E4_18_RT_CR3",1954,"c(""0-15"", ""15-30"")",88.2
"E4_224","E4","E4_18_RT_CR3",1967,"c(""0-15"", ""15-30"")",95.9
"E4_224","E4","E4_18_RT_CR3",1974,"c(""0-15"", ""15-30"")",83.6
"E4_224","E4","E4_18_RT_CR3",1985,"c(""0-15"", ""15-30"")",78.3
"E4_224","E4","E4_18_RT_CR3",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",96.05
"E4_225","E4","E4_28_RT_CR12",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",111.1
"E4_226","E4","E4_15_RT_CR9",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",86.9
"E4_227","E4","E4_13_RT_CR8",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",79.15
"E4_228","E4","E4_10_RT_CR3",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",78.55
"E4_229","E4","E4_11_RT_CR3",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",79.85
"E4_301","E4","E4_18_RT_CR3",1954,"c(""0-15"", ""15-30"")",102.6
"E4_301","E4","E4_18_RT_CR3",1967,"c(""0-15"", ""15-30"")",90.9
"E4_301","E4","E4_18_RT_CR3",1974,"c(""0-15"", ""15-30"")",89.7
"E4_301","E4","E4_18_RT_CR3",1985,"c(""0-15"", ""15-30"")",85.9
"E4_301","E4","E4_18_RT_CR3",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",91.8
"E4_302","E4","E4_4_RT_CR3",1954,"c(""0-15"", ""15-30"")",96.2
"E4_302","E4","E4_4_RT_CR3",1967,"c(""0-15"", ""15-30"")",89.4
"E4_302","E4","E4_4_RT_CR3",1974,"c(""0-15"", ""15-30"")",84.9
"E4_302","E4","E4_4_RT_CR3",1985,"c(""0-15"", ""15-30"")",78.1
"E4_302","E4","E4_4_RT_CR3",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",82.45
"E4_303","E4","E4_8_RT_CR2",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",78.85
"E4_304","E4","E4_21_RT_CR5",1954,"c(""0-15"", ""15-30"")",92.5
"E4_304","E4","E4_21_NT_CR5",1967,"c(""0-15"", ""15-30"")",100.9
"E4_304","E4","E4_21_RT_CR5",1974,"c(""0-15"", ""15-30"")",89.9
"E4_304","E4","E4_21_NT_CR5",1985,"c(""0-15"", ""15-30"")",86.2
"E4_304","E4","E4_21_RT_CR5",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",98.4
"E4_305","E4","E4_15_RT_CR9",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",94.1
"E4_306","E4","E4_1_RT_CR12",1954,"c(""0-15"", ""15-30"")",98.1
"E4_306","E4","E4_1_RT_CR12",1967,"c(""0-15"", ""15-30"")",96.7
"E4_306","E4","E4_1_RT_CR12",1974,"c(""0-15"", ""15-30"")",92.9
"E4_306","E4","E4_1_RT_CR12",1985,"c(""0-15"", ""15-30"")",83.8
"E4_306","E4","E4_1_RT_CR12",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",91
"E4_307","E4","E4_2_RT_CR2",1954,"c(""0-15"", ""15-30"")",88.9
"E4_307","E4","E4_2_RT_CR2",1967,"c(""0-15"", ""15-30"")",85
"E4_307","E4","E4_2_RT_CR2",1974,"c(""0-15"", ""15-30"")",80.9
"E4_307","E4","E4_2_RT_CR2",1985,"c(""0-15"", ""15-30"")",73.6
"E4_307","E4","E4_2_RT_CR2",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",88.8
"E4_308","E4","E4_13_RT_CR8",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",89.35
"E4_309","E4","E4_23_RT_CR5",1954,"c(""0-15"", ""15-30"")",110
"E4_309","E4","E4_23_RT_CR5",1967,"c(""0-15"", ""15-30"")",105.1
"E4_309","E4","E4_23_RT_CR5",1974,"c(""0-15"", ""15-30"")",98
"E4_309","E4","E4_23_RT_CR5",1985,"c(""0-15"", ""15-30"")",83.7
"E4_309","E4","E4_23_RT_CR5",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",97.6
"E4_310","E4","E4_20_RT_CR3",1954,"c(""0-15"", ""15-30"")",100.5
"E4_310","E4","E4_20_RT_CR3",1967,"c(""0-15"", ""15-30"")",94.8
"E4_310","E4","E4_20_RT_CR3",1974,"c(""0-15"", ""15-30"")",102.9
"E4_310","E4","E4_20_RT_CR3",1985,"c(""0-15"", ""15-30"")",77.3
"E4_310","E4","E4_20_RT_CR3",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",108.75
"E4_311","E4","E4_11_RT_CR3",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",73.2
"E4_312","E4","E4_6_RT_CR3",1954,"c(""0-15"", ""15-30"")",98.3
"E4_312","E4","E4_6_RT_CR3",1967,"c(""0-15"", ""15-30"")",84.8
"E4_312","E4","E4_6_RT_CR3",1974,"c(""0-15"", ""15-30"")",86.4
"E4_312","E4","E4_6_RT_CR3",1985,"c(""0-15"", ""15-30"")",78.9
"E4_312","E4","E4_6_RT_CR3",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",92.05
"E4_313","E4","E4_22_NT_CR5",1954,"c(""0-15"", ""15-30"")",101
"E4_313","E4","E4_22_RT_CR5",1967,"c(""0-15"", ""15-30"")",95
"E4_313","E4","E4_22_RT_CR5",1974,"c(""0-15"", ""15-30"")",94.4
"E4_313","E4","E4_22_RT_CR5",1985,"c(""0-15"", ""15-30"")",91.4
"E4_313","E4","E4_22_RT_CR5",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",99
"E4_314","E4","E4_17_RT_CR9",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",89.45
"E4_315","E4","E4_19_RT_CR3",1954,"c(""0-15"", ""15-30"")",99.5
"E4_315","E4","E4_19_RT_CR3",1967,"c(""0-15"", ""15-30"")",94.2
"E4_315","E4","E4_19_RT_CR3",1974,"c(""0-15"", ""15-30"")",92.4
"E4_315","E4","E4_19_RT_CR3",1985,"c(""0-15"", ""15-30"")",87.8
"E4_315","E4","E4_19_RT_CR3",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",110.4
"E4_316","E4","E4_16_RT_CR9",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",78.4
"E4_317","E4","E4_5_RT_CR3",1954,"c(""0-15"", ""15-30"")",91.9
"E4_317","E4","E4_5_RT_CR3",1967,"c(""0-15"", ""15-30"")",88.7
"E4_317","E4","E4_5_RT_CR3",1974,"c(""0-15"", ""15-30"")",80.6
"E4_317","E4","E4_5_RT_CR3",1985,"c(""0-15"", ""15-30"")",74.5
"E4_317","E4","E4_5_RT_CR3",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",90.15
"E4_318","E4","E4_3_RT_CR2",1954,"c(""0-15"", ""15-30"")",93.8
"E4_318","E4","E4_3_RT_CR2",1967,"c(""0-15"", ""15-30"")",87.3
"E4_318","E4","E4_3_RT_CR2",1974,"c(""0-15"", ""15-30"")",77.5
"E4_318","E4","E4_3_RT_CR2",1985,"c(""0-15"", ""15-30"")",73.6
"E4_318","E4","E4_3_RT_CR2",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",85.95
"E4_319","E4","E4_25_RT_CR5",1954,"c(""0-15"", ""15-30"")",91.5
"E4_319","E4","E4_25_RT_CR5",1967,"c(""0-15"", ""15-30"")",88
"E4_319","E4","E4_25_RT_CR5",1974,"c(""0-15"", ""15-30"")",83.6
"E4_319","E4","E4_25_RT_CR5",1985,"c(""0-15"", ""15-30"")",85.9
"E4_319","E4","E4_25_RT_CR5",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",94.85
"E4_320","E4","E4_27_RT_CR12",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",92.55
"E4_321","E4","E4_24_RT_CR5",1954,"c(""0-15"", ""15-30"")",96.1
"E4_321","E4","E4_24_RT_CR5",1967,"c(""0-15"", ""15-30"")",87.6
"E4_321","E4","E4_24_RT_CR5",1974,"c(""0-15"", ""15-30"")",89.6
"E4_321","E4","E4_24_RT_CR5",1985,"c(""0-15"", ""15-30"")",81.7
"E4_321","E4","E4_24_RT_CR5",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",90.1
"E4_322","E4","E4_14_RT_CR8",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",75.65
"E4_323","E4","E4_29_RT_CR10",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",94.6
"E4_324","E4","E4_26_RT_CR5",1954,"c(""0-15"", ""15-30"")",83.5
"E4_324","E4","E4_26_RT_CR5",1967,"c(""0-15"", ""15-30"")",84.3
"E4_324","E4","E4_26_NT_CR5",1974,"c(""0-15"", ""15-30"")",83.4
"E4_324","E4","E4_26_RT_CR5",1985,"c(""0-15"", ""15-30"")",82.4
"E4_324","E4","E4_26_NT_CR5",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",95.5
"E4_325","E4","E4_28_RT_CR12",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",97.65
"E4_326","E4","E4_9_RT_CR2",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",91.7
"E4_327","E4","E4_12_RT_CR3",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",82.7
"E4_328","E4","E4_7_RT_CR12",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",89.05
"E4_329","E4","E4_10_RT_CR3",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",94.05
"E4_401","E4","E4_12_RT_CR3",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",89.6
"E4_402","E4","E4_26_RT_CR5",1954,"c(""0-15"", ""15-30"")",92.3
"E4_402","E4","E4_26_RT_CR5",1967,"c(""0-15"", ""15-30"")",92.8
"E4_402","E4","E4_26_NT_CR5",1974,"c(""0-15"", ""15-30"")",92.6
"E4_402","E4","E4_26_RT_CR5",1985,"c(""0-15"", ""15-30"")",89.2
"E4_402","E4","E4_26_NT_CR5",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",106.45
"E4_403","E4","E4_29_RT_CR10",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",110.2
"E4_404","E4","E4_23_RT_CR5",1954,"c(""0-15"", ""15-30"")",91.1
"E4_404","E4","E4_23_RT_CR5",1967,"c(""0-15"", ""15-30"")",97.9
"E4_404","E4","E4_23_RT_CR5",1974,"c(""0-15"", ""15-30"")",94.3
"E4_404","E4","E4_23_RT_CR5",1985,"c(""0-15"", ""15-30"")",91.3
"E4_404","E4","E4_23_RT_CR5",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",103.05
"E4_405","E4","E4_6_RT_CR3",1954,"c(""0-15"", ""15-30"")",90.5
"E4_405","E4","E4_6_RT_CR3",1967,"c(""0-15"", ""15-30"")",83.3
"E4_405","E4","E4_6_RT_CR3",1974,"c(""0-15"", ""15-30"")",79.9
"E4_405","E4","E4_6_RT_CR3",1985,"c(""0-15"", ""15-30"")",76.6
"E4_405","E4","E4_6_RT_CR3",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",86.4
"E4_406","E4","E4_10_RT_CR3",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",88.9
"E4_407","E4","E4_20_RT_CR3",1954,"c(""0-15"", ""15-30"")",88.9
"E4_407","E4","E4_20_RT_CR3",1967,"c(""0-15"", ""15-30"")",88.3
"E4_407","E4","E4_20_RT_CR3",1974,"c(""0-15"", ""15-30"")",84.2
"E4_407","E4","E4_20_RT_CR3",1985,"c(""0-15"", ""15-30"")",84.1
"E4_407","E4","E4_20_RT_CR3",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",105.75
"E4_408","E4","E4_2_RT_CR2",1954,"c(""0-15"", ""15-30"")",84
"E4_408","E4","E4_2_RT_CR2",1967,"c(""0-15"", ""15-30"")",77
"E4_408","E4","E4_2_RT_CR2",1974,"c(""0-15"", ""15-30"")",80.5
"E4_408","E4","E4_2_RT_CR2",1985,"c(""0-15"", ""15-30"")",73.6
"E4_408","E4","E4_2_RT_CR2",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",85.25
"E4_409","E4","E4_1_RT_CR12",1954,"c(""0-15"", ""15-30"")",92.5
"E4_409","E4","E4_1_RT_CR12",1967,"c(""0-15"", ""15-30"")",84.7
"E4_409","E4","E4_1_RT_CR12",1974,"c(""0-15"", ""15-30"")",85.1
"E4_409","E4","E4_1_RT_CR12",1985,"c(""0-15"", ""15-30"")",80.9
"E4_409","E4","E4_1_RT_CR12",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",86.8
"E4_410","E4","E4_3_RT_CR2",1954,"c(""0-15"", ""15-30"")",93.1
"E4_410","E4","E4_3_RT_CR2",1967,"c(""0-15"", ""15-30"")",83.2
"E4_410","E4","E4_3_RT_CR2",1974,"c(""0-15"", ""15-30"")",78.8
"E4_410","E4","E4_3_RT_CR2",1985,"c(""0-15"", ""15-30"")",72.3
"E4_410","E4","E4_3_RT_CR2",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",85.05
"E4_411","E4","E4_14_RT_CR8",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",74.75
"E4_412","E4","E4_19_RT_CR3",1954,"c(""0-15"", ""15-30"")",87
"E4_412","E4","E4_19_RT_CR3",1967,"c(""0-15"", ""15-30"")",76.2
"E4_412","E4","E4_19_RT_CR3",1974,"c(""0-15"", ""15-30"")",82.6
"E4_412","E4","E4_19_RT_CR3",1985,"c(""0-15"", ""15-30"")",73.9
"E4_412","E4","E4_19_RT_CR3",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",106
"E4_413","E4","E4_5_RT_CR3",1954,"c(""0-15"", ""15-30"")",84.7
"E4_413","E4","E4_5_RT_CR3",1967,"c(""0-15"", ""15-30"")",76.2
"E4_413","E4","E4_5_RT_CR3",1974,"c(""0-15"", ""15-30"")",79.8
"E4_413","E4","E4_5_RT_CR3",1985,"c(""0-15"", ""15-30"")",63.6
"E4_413","E4","E4_5_RT_CR3",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",83.95
"E4_414","E4","E4_22_NT_CR5",1954,"c(""0-15"", ""15-30"")",91.5
"E4_414","E4","E4_22_RT_CR5",1967,"c(""0-15"", ""15-30"")",83.3
"E4_414","E4","E4_22_RT_CR5",1974,"c(""0-15"", ""15-30"")",86.1
"E4_414","E4","E4_22_RT_CR5",1985,"c(""0-15"", ""15-30"")",80.8
"E4_414","E4","E4_22_RT_CR5",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",92.1
"E4_415","E4","E4_13_RT_CR8",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",91.2
"E4_416","E4","E4_11_RT_CR3",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",76.2
"E4_417","E4","E4_25_RT_CR5",1954,"c(""0-15"", ""15-30"")",76.5
"E4_417","E4","E4_25_RT_CR5",1967,"c(""0-15"", ""15-30"")",80.9
"E4_417","E4","E4_25_RT_CR5",1974,"c(""0-15"", ""15-30"")",76.9
"E4_417","E4","E4_25_RT_CR5",1985,"c(""0-15"", ""15-30"")",78
"E4_417","E4","E4_25_RT_CR5",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",94.9
"E4_418","E4","E4_8_RT_CR2",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",86
"E4_419","E4","E4_4_RT_CR3",1954,"c(""0-15"", ""15-30"")",84.7
"E4_419","E4","E4_4_RT_CR3",1967,"c(""0-15"", ""15-30"")",79.2
"E4_419","E4","E4_4_RT_CR3",1974,"c(""0-15"", ""15-30"")",71.3
"E4_419","E4","E4_4_RT_CR3",1985,"c(""0-15"", ""15-30"")",69.8
"E4_419","E4","E4_4_RT_CR3",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",86.95
"E4_420","E4","E4_18_RT_CR3",1954,"c(""0-15"", ""15-30"")",86.9
"E4_420","E4","E4_18_RT_CR3",1967,"c(""0-15"", ""15-30"")",77
"E4_420","E4","E4_18_RT_CR3",1974,"c(""0-15"", ""15-30"")",80.3
"E4_420","E4","E4_18_RT_CR3",1985,"c(""0-15"", ""15-30"")",76.4
"E4_420","E4","E4_18_RT_CR3",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",92.6
"E4_421","E4","E4_24_RT_CR5",1954,"c(""0-15"", ""15-30"")",90.1
"E4_421","E4","E4_24_RT_CR5",1967,"c(""0-15"", ""15-30"")",88
"E4_421","E4","E4_24_RT_CR5",1974,"c(""0-15"", ""15-30"")",85.9
"E4_421","E4","E4_24_RT_CR5",1985,"c(""0-15"", ""15-30"")",81.8
"E4_421","E4","E4_24_RT_CR5",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",85.65
"E4_422","E4","E4_7_RT_CR12",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",91.35
"E4_423","E4","E4_15_RT_CR9",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",104.5
"E4_424","E4","E4_21_RT_CR5",1954,"c(""0-15"", ""15-30"")",95
"E4_424","E4","E4_21_NT_CR5",1967,"c(""0-15"", ""15-30"")",91.9
"E4_424","E4","E4_21_RT_CR5",1974,"c(""0-15"", ""15-30"")",93.7
"E4_424","E4","E4_21_NT_CR5",1985,"c(""0-15"", ""15-30"")",83.1
"E4_424","E4","E4_21_RT_CR5",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",94.1
"E4_425","E4","E4_28_RT_CR12",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",107.5
"E4_426","E4","E4_17_RT_CR9",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",85.35
"E4_427","E4","E4_9_RT_CR2",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",87.55
"E4_428","E4","E4_16_RT_CR9",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",86
"E4_429","E4","E4_27_RT_CR12",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",82.95
"E50_CT_CR25","E50","E50_CT_CR25",2001,"0-15",78
"E50_CT_CR26","E50","E50_CT_CR26",2001,"0-15",78
"E50_CT_CR27","E50","E50_CT_CR27",2001,"0-15",78
"E50_NT_CR25","E50","E50_NT_CR25",2001,"0-15",81.4
"E50_NT_CR26","E50","E50_NT_CR26",2001,"0-15",81.4
"E50_NT_CR27","E50","E50_NT_CR27",2001,"0-15",81.4
"E51_CT","E51","E51_CT_CR28",2005,"0-30",63.9
"E51_NT","E51","E51_NT_CR28",2005,"0-30",78.5
"E52_CT_CR28","E52","E52_CT_CR28",2005,"0-30",76
"E52_CT_CR29","E52","E52_CT_CR29",2005,"0-30",76
"E52_CT_CR30","E52","E52_CT_CR30",2005,"0-30",76
"E52_CT_CR31","E52","E52_CT_CR31",2005,"0-30",76
"E52_CT_CR5","E52","E52_CT_CR5",2005,"0-30",76
"E52_NT_CR28","E52","E52_NT_CR28",2005,"0-30",89.4
"E52_NT_CR29","E52","E52_NT_CR29",2005,"0-30",89.4
"E52_NT_CR30","E52","E52_NT_CR30",2005,"0-30",89.4
"E52_NT_CR31","E52","E52_NT_CR31",2005,"0-30",89.4
"E52_NT_CR5","E52","E52_NT_CR5",2005,"0-30",89.4
"E53_CT_CR1","E53","E53_CT_CR1",2004,"0-15",45.6
"E53_CT_CR2","E53","E53_CT_CR2",2004,"0-15",45.6
"E53_NT_CR1","E53","E53_NT_CR1",2004,"0-15",48
"E53_NT_CR2","E53","E53_NT_CR2",2004,"0-15",48
"E54_CT_CR32","E54","E54_CT_CR32",2004,"0-15",50.75
"E54_CT_CR33","E54","E54_CT_CR33",2004,"0-15",50.75
"E54_CT_CR34","E54","E54_CT_CR34",2004,"0-15",50.75
"E54_NT_CR32","E54","E54_NT_CR32",2004,"0-15",56.65
"E54_NT_CR33","E54","E54_NT_CR33",2004,"0-15",56.65
"E54_NT_CR34","E54","E54_NT_CR34",2004,"0-15",56.65
"E55_CT","E55","E55_CT_CR3",2005,"0-15",131.65
"E55_NT","E55","E55_NT_CR3",2005,"0-15",132.15
"E56_CT","E56","E56_CT_CR1",2001,"0-15",99.5
"E56_NT","E56","E56_NT_CR1",2001,"0-15",106.1
"E57_CT","E57","E57_CT_CR3",2005,"0-15",84.75
"E57_NT","E57","E57_NT_CR3",2005,"0-15",88.05
"E58_CT_CR35","E58","E58_CT_CR35",2014,"0-30",78.5
"E58_CT_CR5","E58","E58_CT_CR5",2014,"0-30",78.5
"E58_NT_CR35","E58","E58_NT_CR35",2014,"0-30",76.2
"E58_NT_CR5","E58","E58_NT_CR5",2014,"0-30",76.2
"E59_CT","E59","E59_CT_CR8",2004,"0-30",68.7
"E59_NT","E59","E59_NT_CR8",2004,"0-30",68.9
"E5_Field 1.1_RT_N0P0_CR1","E5","E5_N0P0_RT_CR1",1922,"c(""0-15"", ""15-30"")",66.73425
"E5_Field 1.1_RT_N0P0_CR1","E5","E5_N0P0_RT_CR1",1940,"c(""0-15"", ""15-30"")",66.67416
"E5_Field 1.1_RT_N0P0_CR1","E5","E5_N0P0_RT_CR1",1953,"c(""0-15"", ""15-30"")",64.3890775
"E5_Field 1.1_RT_N0P0_CR1","E5","E5_N0P0_RT_CR1",1967,"c(""0-15"", ""15-30"")",57.639675
"E5_Field 1.1_RT_N0P0_CR1","E5","E5_N0P0_RT_CR1",1973,"c(""0-15"", ""15-30"")",51.13479625
"E5_Field 1.1_RT_N0P0_CR1","E5","E5_N0P0_RT_CR1",1995,"0-15",95.4017149211111
"E5_Field 1.1_RT_N0P0_CR1","E5","E5_N0P0_RT_CR1",2003,"0-15",94.5459031211111
"E5_Field 1.1_RT_N0P0_CR1","E5","E5_N0P0_RT_CR1",2011,"0-15",95.4441629011111
"E5_Field 1.1_RT_N0P20_CR1","E5","E5_N0P20_RT_CR1",1922,"c(""0-15"", ""15-30"")",66.73425
"E5_Field 1.1_RT_N0P20_CR1","E5","E5_N0P20_RT_CR1",1940,"c(""0-15"", ""15-30"")",66.67416
"E5_Field 1.1_RT_N0P20_CR1","E5","E5_N0P20_RT_CR1",1953,"c(""0-15"", ""15-30"")",64.3890775
"E5_Field 1.1_RT_N0P20_CR1","E5","E5_N0P20_RT_CR1",1967,"0-15",65.0052561111111
"E5_Field 1.1_RT_N0P20_CR1","E5","E5_N0P20_RT_CR1",1973,"c(""0-15"", ""15-30"")",50.9505
"E5_Field 1.1_RT_N0P20_CR1","E5","E5_N0P20_RT_CR1",1995,"0-15",96.0160913011111
"E5_Field 1.1_RT_N0P20_CR1","E5","E5_N0P20_RT_CR1",2003,"0-15",93.6241508911111
"E5_Field 1.1_RT_N0P20_CR1","E5","E5_N0P20_RT_CR1",2011,"0-15",95.2051744811111
"E5_Field 1.1_RT_N45P0_CR1","E5","E5_N45P0_RT_CR1",1922,"c(""0-15"", ""15-30"")",66.73425
"E5_Field 1.1_RT_N45P0_CR1","E5","E5_N45P0_RT_CR1",1940,"c(""0-15"", ""15-30"")",66.67416
"E5_Field 1.1_RT_N45P0_CR1","E5","E5_N45P0_RT_CR1",1953,"c(""0-15"", ""15-30"")",64.3890775
"E5_Field 1.1_RT_N45P0_CR1","E5","E5_N45P0_RT_CR1",1967,"c(""0-15"", ""15-30"")",57.36823
"E5_Field 1.1_RT_N45P0_CR1","E5","E5_N45P0_RT_CR1",1973,"c(""0-15"", ""15-30"")",51.953
"E5_Field 1.1_RT_N45P0_CR1","E5","E5_N45P0_RT_CR1",1995,"0-15",96.7660648511111
"E5_Field 1.1_RT_N45P0_CR1","E5","E5_N45P0_RT_CR1",2003,"0-15",96.8615248811111
"E5_Field 1.1_RT_N45P0_CR1","E5","E5_N45P0_RT_CR1",2011,"0-15",98.0717617811111
"E5_Field 1.1_RT_N45P20_CR1","E5","E5_N45P20_RT_CR1",1922,"c(""0-15"", ""15-30"")",66.73425
"E5_Field 1.1_RT_N45P20_CR1","E5","E5_N45P20_RT_CR1",1940,"c(""0-15"", ""15-30"")",66.67416
"E5_Field 1.1_RT_N45P20_CR1","E5","E5_N45P20_RT_CR1",1953,"c(""0-15"", ""15-30"")",64.3890775
"E5_Field 1.1_RT_N45P20_CR1","E5","E5_N45P20_RT_CR1",1967,"0-15",65.0052561111111
"E5_Field 1.1_RT_N45P20_CR1","E5","E5_N45P20_RT_CR1",1973,"c(""0-15"", ""15-30"")",50.0355
"E5_Field 1.1_RT_N45P20_CR1","E5","E5_N45P20_RT_CR1",1995,"0-15",99.6972476911111
"E5_Field 1.1_RT_N45P20_CR1","E5","E5_N45P20_RT_CR1",2003,"0-15",98.2925882911111
"E5_Field 1.1_RT_N45P20_CR1","E5","E5_N45P20_RT_CR1",2011,"0-15",98.8237418511111
"E5_Field 1.2_RT_N0P0_CR2","E5","E5_N0P0_RT_CR2",1922,"c(""0-15"", ""15-30"")",55.90657
"E5_Field 1.2_RT_N0P0_CR2","E5","E5_N0P0_RT_CR2",1940,"c(""0-15"", ""15-30"")",57.14207
"E5_Field 1.2_RT_N0P0_CR2","E5","E5_N0P0_RT_CR2",1953,"c(""0-15"", ""15-30"")",54.33086036
"E5_Field 1.2_RT_N0P0_CR2","E5","E5_N0P0_RT_CR2",1967,"c(""0-15"", ""15-30"")",55.4107125
"E5_Field 1.2_RT_N0P0_CR2","E5","E5_N0P0_RT_CR2",1973,"c(""0-15"", ""15-30"")",47.84503125
"E5_Field 1.2_RT_N0P0_CR2","E5","E5_N0P0_RT_CR2",1995,"0-15",92.7353606811111
"E5_Field 1.2_RT_N0P0_CR2","E5","E5_N0P0_RT_CR2",2003,"0-15",92.0988911611111
"E5_Field 1.2_RT_N0P0_CR2","E5","E5_N0P0_RT_CR2",2011,"0-15",90.5045393211111
"E5_Field 1.2_RT_N0P20_CR2","E5","E5_N0P20_RT_CR2",1922,"c(""0-15"", ""15-30"")",55.90657
"E5_Field 1.2_RT_N0P20_CR2","E5","E5_N0P20_RT_CR2",1940,"c(""0-15"", ""15-30"")",57.14207
"E5_Field 1.2_RT_N0P20_CR2","E5","E5_N0P20_RT_CR2",1953,"c(""0-15"", ""15-30"")",54.33086036
"E5_Field 1.2_RT_N0P20_CR2","E5","E5_N0P20_RT_CR2",1967,"0-15",65.0052561111111
"E5_Field 1.2_RT_N0P20_CR2","E5","E5_N0P20_RT_CR2",1973,"c(""0-15"", ""15-30"")",47.86395
"E5_Field 1.2_RT_N0P20_CR2","E5","E5_N0P20_RT_CR2",1995,"0-15",92.3247910511111
"E5_Field 1.2_RT_N0P20_CR2","E5","E5_N0P20_RT_CR2",2003,"0-15",90.9746045911111
"E5_Field 1.2_RT_N0P20_CR2","E5","E5_N0P20_RT_CR2",2011,"0-15",90.0909462111111
"E5_Field 1.2_RT_N45P0_CR2","E5","E5_N45P0_RT_CR2",1922,"c(""0-15"", ""15-30"")",55.90657
"E5_Field 1.2_RT_N45P0_CR2","E5","E5_N45P0_RT_CR2",1940,"c(""0-15"", ""15-30"")",57.14207
"E5_Field 1.2_RT_N45P0_CR2","E5","E5_N45P0_RT_CR2",1953,"c(""0-15"", ""15-30"")",54.33086036
"E5_Field 1.2_RT_N45P0_CR2","E5","E5_N45P0_RT_CR2",1967,"c(""0-15"", ""15-30"")",52.280988
"E5_Field 1.2_RT_N45P0_CR2","E5","E5_N45P0_RT_CR2",1973,"c(""0-15"", ""15-30"")",48.226875
