"site","experiment","TrtID","year","input_type","modelled_SOC"
"E2_F2_CT_1","E2","E2_F2_CR1",2017,"0-30",95.85529994
"E2_F2_CT_2","E2","E2_F2_CR1",2004,"0-30",88.7
"E2_F2_CT_2","E2","E2_F2_CR1",2009,"0-30",77.51973077
"E2_F2_CT_2","E2","E2_F2_CR1",2017,"0-30",95.85529994
"E2_F2_CT_3","E2","E2_F2_CR1",2004,"0-30",88.7
"E2_F2_CT_3","E2","E2_F2_CR1",2009,"0-30",77.51973077
"E2_F2_CT_3","E2","E2_F2_CR1",2017,"0-30",95.85529994
"E2_F3_CT_1","E2","E2_F3_CR1",2004,"0-30",88.7
"E2_F3_CT_1","E2","E2_F3_CR1",2009,"0-30",104.2914079
"E2_F3_CT_1","E2","E2_F3_CR1",2017,"0-30",101.3614603
"E2_F3_CT_2","E2","E2_F3_CR1",2004,"0-30",88.7
"E2_F3_CT_2","E2","E2_F3_CR1",2009,"0-30",104.2914079
"E2_F3_CT_2","E2","E2_F3_CR1",2017,"0-30",101.3614603
"E2_F3_CT_3","E2","E2_F3_CR1",2004,"0-30",88.7
"E2_F3_CT_3","E2","E2_F3_CR1",2009,"0-30",104.2914079
"E2_F3_CT_3","E2","E2_F3_CR1",2017,"0-30",101.3614603
"E2_F4_CT_1","E2","E2_F4_CR1",2004,"0-30",88.7
"E2_F4_CT_1","E2","E2_F4_CR1",2009,"0-30",79.7059428
"E2_F4_CT_1","E2","E2_F4_CR1",2017,"0-30",98.38368709
"E2_F4_CT_2","E2","E2_F4_CR1",2004,"0-30",88.7
"E2_F4_CT_2","E2","E2_F4_CR1",2009,"0-30",79.7059428
"E2_F4_CT_2","E2","E2_F4_CR1",2017,"0-30",98.38368709
"E2_F4_CT_3","E2","E2_F4_CR1",2004,"0-30",88.7
"E2_F4_CT_3","E2","E2_F4_CR1",2009,"0-30",79.7059428
"E2_F4_CT_3","E2","E2_F4_CR1",2017,"0-30",98.38368709
"E30_CT","E30","E30_CT_CR13",1992,"0-40",47.4
"E30_NT","E30","E30_NT_CR13",1992,"0-40",41.5
"E31_CT","E31","E31_CT_CR14",1999,"0-45",66.8
"E31_NT","E31","E31_NT_CR14",1999,"0-45",61.9
"E32_CT","E32","E32_CT_CR14",1999,"0-45",34.3
"E32_NT","E32","E32_NT_CR14",1999,"0-45",35.7
"E33_CT","E33","E33_CT_CR14",1999,"0-45",46.6
"E33_NT","E33","E33_NT_CR14",1999,"0-45",47.9
"E34_CT","E34","E34_CT_CR14",1999,"0-45",46.1
"E34_NT","E34","E34_NT_CR14",1999,"0-45",38.3
"E35_CT","E35","E35_CT_CR15",1997,"0-20",140.4
"E35_NT","E35","E35_NT_CR15",1997,"0-20",155.8
"E36_CT","E36","E36_CT_CR2",1991,"0-20",93.1
"E36_NT","E36","E36_NT_CR2",1991,"0-20",89.9
"E37_CT_CR16","E37","E37_CT_CR16",1990,"0-15",61.75
"E37_NT_CR16","E37","E37_NT_CR16",1990,"0-15",68.45
"E38_CT","E38","E38_CT_CR17",1994,"0-20",87.35
"E38_NT","E38","E38_NT_CR17",1994,"0-20",95.65
"E39_CT","E39","E39_CT_CR18",1984,"0-30",70.7
"E39_NT","E39","E39_NT_CR18",1984,"0-30",66.5
"E3_0_CT","E3","E3_0_CR1",1992,"0-30",84.14674899
"E3_0_CT","E3","E3_0_CR1",1996,"0-30",74.59980706
"E3_0_CT","E3","E3_0_CR1",2000,"0-30",68.31658661
"E3_0_CT","E3","E3_0_CR1",2013,"0-30",77.33474769
"E3_100_CT","E3","E3_100_CR1",1992,"0-30",81.7305297
"E3_100_CT","E3","E3_100_CR1",2000,"0-30",61.02840302
"E3_100_CT","E3","E3_100_CR1",2013,"0-30",95.16348934
"E3_200_CT","E3","E3_200_CR1",1992,"0-30",80.5975927
"E3_200_CT","E3","E3_200_CR1",2000,"0-30",77.21164533
"E3_200_CT","E3","E3_200_CR1",2013,"0-30",87.67333077
"E40_CT","E40","E40_CT_CR5",1987,"0-30",21.9
"E40_NT","E40","E40_NT_CR5",1987,"0-30",22.1
"E41_CT_CR19","E41","E41_CT_CR19",1989,"0-15",59.15
"E41_CT_CR20","E41","E41_CT_CR20",1989,"0-15",59.15
"E41_CT_CR21","E41","E41_CT_CR21",1989,"0-15",59.15
"E41_NT_CR19","E41","E41_NT_CR19",1989,"0-15",63.05
"E41_NT_CR20","E41","E41_NT_CR20",1989,"0-15",63.05
"E41_NT_CR21","E41","E41_NT_CR21",1989,"0-15",63.05
"E42_CT","E42","E42_CT_CR1",2011,"0-15",46.7
"E42_NT","E42","E42_NT_CR1",2011,"0-15",53.5
"E43_CT","E43","E43_CT_CR2",2014,"0-15",90.65
"E43_NT","E43","E43_NT_CR2",2014,"0-15",92.35
"E44_CT","E44","E44_CT_CR22",2004,"0-15",77.45
"E44_NT","E44","E44_NT_CR22",2004,"0-15",86.35
"E45_CT","E45","E45_CT_CR22",2004,"0-15",80.2
"E45_NT","E45","E45_NT_CR22",2004,"0-15",84.6
"E46_CT","E46","E46_CT_CR23",1998,"0-15",84.45
"E46_NT","E46","E46_NT_CR23",1998,"0-15",88.35
"E47_CT","E47","E47_CT_CR23",2006,"0-15",84.6
"E47_NT","E47","E47_NT_CR23",2006,"0-15",88.2
"E48_CT","E48","E48_CT_CR24",1998,"0-15",130.9
"E48_NT","E48","E48_NT_CR24",1998,"0-15",132.9
"E49_CT","E49","E49_CT_CR24",2006,"0-15",131.4
"E49_NT","E49","E49_NT_CR24",2006,"0-15",132.4
"E4_101","E4","E4_14_RT_CR8",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",78.85
"E4_102","E4","E4_22_NT_CR5",1954,"c(""0-15"", ""15-30"")",95.2
"E4_102","E4","E4_22_RT_CR5",1967,"c(""0-15"", ""15-30"")",95.2
"E4_102","E4","E4_22_RT_CR5",1974,"c(""0-15"", ""15-30"")",93.9
"E4_102","E4","E4_22_RT_CR5",1985,"c(""0-15"", ""15-30"")",88.7
"E4_102","E4","E4_22_RT_CR5",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",93.95
"E4_103","E4","E4_5_RT_CR3",1954,"c(""0-15"", ""15-30"")",87.7
"E4_103","E4","E4_5_RT_CR3",1967,"c(""0-15"", ""15-30"")",85.7
"E4_103","E4","E4_5_RT_CR3",1974,"c(""0-15"", ""15-30"")",81.3
"E4_103","E4","E4_5_RT_CR3",1985,"c(""0-15"", ""15-30"")",74.4
"E4_103","E4","E4_5_RT_CR3",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",82.45
"E4_104","E4","E4_17_RT_CR9",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",71.3
"E4_105","E4","E4_19_RT_CR3",1954,"c(""0-15"", ""15-30"")",89.3
"E4_105","E4","E4_19_RT_CR3",1967,"c(""0-15"", ""15-30"")",86.5
"E4_105","E4","E4_19_RT_CR3",1974,"c(""0-15"", ""15-30"")",83.4
"E4_105","E4","E4_19_RT_CR3",1985,"c(""0-15"", ""15-30"")",80.9
"E4_105","E4","E4_19_RT_CR3",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",105.05
"E4_106","E4","E4_8_RT_CR2",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",90.1
"E4_107","E4","E4_25_RT_CR5",1954,"c(""0-15"", ""15-30"")",92.6
"E4_107","E4","E4_25_RT_CR5",1967,"c(""0-15"", ""15-30"")",94
"E4_107","E4","E4_25_RT_CR5",1974,"c(""0-15"", ""15-30"")",83.3
"E4_107","E4","E4_25_RT_CR5",1985,"c(""0-15"", ""15-30"")",83.5
"E4_107","E4","E4_25_RT_CR5",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",93.05
"E4_108","E4","E4_2_RT_CR2",1954,"c(""0-15"", ""15-30"")",90.2
"E4_108","E4","E4_2_RT_CR2",1967,"c(""0-15"", ""15-30"")",83.6
"E4_108","E4","E4_2_RT_CR2",1974,"c(""0-15"", ""15-30"")",75.1
"E4_108","E4","E4_2_RT_CR2",1985,"c(""0-15"", ""15-30"")",73.2
"E4_108","E4","E4_2_RT_CR2",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",83.15
"E4_109","E4","E4_1_RT_CR12",1954,"c(""0-15"", ""15-30"")",94.2
"E4_109","E4","E4_1_RT_CR12",1967,"c(""0-15"", ""15-30"")",92.4
"E4_109","E4","E4_1_RT_CR12",1974,"c(""0-15"", ""15-30"")",81.7
"E4_109","E4","E4_1_RT_CR12",1985,"c(""0-15"", ""15-30"")",88.8
"E4_109","E4","E4_1_RT_CR12",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",88.25
"E4_110","E4","E4_3_RT_CR2",1954,"c(""0-15"", ""15-30"")",91.8
"E4_110","E4","E4_3_RT_CR2",1967,"c(""0-15"", ""15-30"")",85.4
"E4_110","E4","E4_3_RT_CR2",1974,"c(""0-15"", ""15-30"")",83
"E4_110","E4","E4_3_RT_CR2",1985,"c(""0-15"", ""15-30"")",71.5
"E4_110","E4","E4_3_RT_CR2",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",84
"E4_111","E4","E4_20_RT_CR3",1954,"c(""0-15"", ""15-30"")",85
"E4_111","E4","E4_20_RT_CR3",1967,"c(""0-15"", ""15-30"")",91.5
